Dataset Name,Observation Date,Series Display Name,Observation Value,Unit
Export Receipts by Commodities and Groups,30-Nov-25,IV Other Exports,79327.99997,Thousand USD
Export Receipts by Commodities and Groups,30-Nov-25,. Total Export as per BOP,2277000,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,A. Food Group,375052.0264,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......1 Rice,153388.3617,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............A) Basmati,49700.9737,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............B) Others,103687.388,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......2 Fish & Fish Preparations,40870.113,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......3 Fruits,19733.8729,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......4 Vegetablees/Leguminous Vegetable,10817.1806,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......5 Tobacco,9491.4624,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......6 Wheat,0,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......7 Spices,6646.6107,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,"......8 Oil Seeds, Nuts and Kernels",16463.5784,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......9 Sugar,0,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......10 Meat and Meat Preparations,45914.7471,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......11 All Other Food Items,71726.0996,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,B. Textile Group,1621618.582,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......12 Raw Cotton,1714.912,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......13 Cotton Yarn,65418.7516,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......14 Cotton Cloth,148146.6521,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......15 Cotton Carded or Combed,0,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......16 Yarn Other than Cotton Yarn,2508.4029,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......17 Knitwear,460554.4764,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......18 Bed Wear,289719.9392,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......19 Towels,78761.4375,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,"......20 Tents,Canvas & Tarpaulin",15223.8085,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......21 Readymade Garments,375127.6398,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,"......22 Art,Silk & Synthetic Textile",32403.0959,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......23 Madeup Articles(incl.Other Tex,66762.4171,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......24 Other Textile Materials,85277.0492,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,C. Petroleum Group,62180.2342,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......25 Petroleum Crude,0,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......26 Petroleum Products,52828.5012,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......27 Solid Fuel including Naphtha,9351.733,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,D. Other Manufacture,372461.071,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,"......28 Carpets,Rugs & Mats",5522.6264,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......29 Sports Goods,35979.1259,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............A) Footballs,20413.6722,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............B) Gloves,5931.6793,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............C) Others,9633.7744,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......30 Leather Tanned,11752.7468,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......31 Leather Manufactures,59491.5911,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............A) Leather Garments,27581.8575,Thousand USD
